App,Graph,Total Batch Size,Core Graph Size (%),Accuracy (%)
bfs-core,dl,0.08,22.365,62.1725
bfs-core,dl,0.16,24.32,63.9675
bfs-core,dl,0.32,27.9425,70.0125
bfs-core,ttw,0.08,14.6675,55.432500000000005
bfs-core,ttw,0.16,16.564999999999998,60.9125
bfs-core,ttw,0.32,18.8975,56.665
ssnp-core,dl,0.08,18.43,77.3775
ssnp-core,dl,0.16,19.985,80.1875
ssnp-core,dl,0.32,23.7925,83.54249999999999
ssnp-core,ttw,0.08,10.0225,86.4925
ssnp-core,ttw,0.16,11.275,86.1725
ssnp-core,ttw,0.32,13.557500000000001,75.1825
ssr-core,dl,0.08,24.215,67.81
ssr-core,dl,0.16,25.06,74.08
ssr-core,dl,0.32,27.1675,83.3075
ssr-core,ttw,0.08,9.120000000000001,97.97999999999999
ssr-core,ttw,0.16,10.0875,98.095
ssr-core,ttw,0.32,12.175,94.8025
sssp-core,dl,0.08,25.71,98.12
sssp-core,dl,0.16,27.03,97.82
sssp-core,dl,0.32,29.32,94.7
sssp-core,ttw,0.08,30.4,99.29
sssp-core,ttw,0.16,31.53,98.58
sssp-core,ttw,0.32,32.78,93.03
sswp-core,dl,0.08,18.8525,78.2075
sswp-core,dl,0.16,20.3875,80.7125
sswp-core,dl,0.32,24.0875,83.3175
sswp-core,ttw,0.08,10.4925,87.075
sswp-core,ttw,0.16,11.7275,86.6175
sswp-core,ttw,0.32,13.905000000000001,76.32
viterbi-core,dl,0.08,21.175,50.1725
viterbi-core,dl,0.16,23.557499999999997,56.5125
viterbi-core,dl,0.32,27.005,62.665
viterbi-core,ttw,0.08,16.235,79.945
viterbi-core,ttw,0.16,17.96,80.525
viterbi-core,ttw,0.32,20.455,70.405
wcc-core,dl,0.08,13.3875,69.4725
wcc-core,dl,0.16,14.465,76.0325
wcc-core,dl,0.32,16.845,83.36
wcc-core,ttw,0.08,5.8975,97.36
wcc-core,ttw,0.16,6.7525,97.39
wcc-core,ttw,0.32,8.53,93.01
